相对路径,汉字数,是否计入有效样本,提取状态
2014\B\优秀论文\B18013004_邓敏娜_宁凯_董婷婷.pdf,5262,是,cache
2014\B\优秀论文\B27042017_吴俊锋_谭翔飞_庄重.pdf,8851,是,cache
2015\A\优秀论文\A095.pdf,9730,是,cache
2015\A\优秀论文\A135.pdf,12791,是,cache
2015\B\优秀论文\B006.pdf,684,否,cache
2015\B\优秀论文\B013.pdf,9358,是,cache
2015\B\优秀论文\B285.pdf,13241,是,cache
2015\B\优秀论文\B309.pdf,12803,是,cache
2015\B\优秀论文\B340.pdf,11516,是,cache
2016\A\优秀论文\A028.pdf,8955,是,cache
2016\A\优秀论文\A140.pdf,18562,是,cache
2016\A\优秀论文\A194.pdf,11905,是,cache
2016\A\优秀论文\A433.pdf,10114,是,cache
2016\B\优秀论文\B022.pdf,10945,是,cache
2016\B\优秀论文\B044.pdf,11640,是,cache
2016\B\优秀论文\B067.pdf,15601,是,cache
2016\B\优秀论文\B294.pdf,14067,是,cache
2017\A\优秀论文\A053.pdf,9781,是,cache
2017\A\优秀论文\A090.pdf,9429,是,cache
2017\A\优秀论文\A156.pdf,11160,是,cache
2017\A\优秀论文\A298.pdf,11224,是,cache
2017\A\优秀论文\A328.pdf,13945,是,cache
2017\A\优秀论文\A题CT系统参数标定及成像蔡志杰.pdf,0,否,cache
2017\B\优秀论文\B104.pdf,6540,是,cache
2017\B\优秀论文\B154.pdf,10604,是,cache
2017\B\优秀论文\B248.pdf,16854,是,cache
2017\B\优秀论文\B264.pdf,8878,是,cache
2017\B\优秀论文\B315.pdf,7470,是,cache
2017\B\优秀论文\B353.pdf,10176,是,cache
2017\B\优秀论文\B447.pdf,15495,是,cache
2017\B\优秀论文\B题“拍照赚钱”的任务定价-邓明华.pdf,8020,是,cache
2018\A\优秀论文\A229.pdf,9225,是,cache
2018\A\优秀论文\A401.pdf,11617,是,cache
2018\A\优秀论文\A440.pdf,9192,是,cache
2018\A\优秀论文\A466.pdf,6127,是,cache
2018\B\优秀论文\B203.pdf,15202,是,cache
2018\B\优秀论文\B225.pdf,20406,是,cache
2018\B\优秀论文\B334.pdf,10415,是,cache
2019\A\优秀论文\A023.pdf,1026,否,cache
2019\A\优秀论文\A190.pdf,609,否,cache
2019\A\优秀论文\A240.pdf,324,否,cache
2019\B\优秀论文\B047.pdf,735,否,cache
2019\B\优秀论文\B057.pdf,378,否,cache
2019\B\优秀论文\B136.pdf,432,否,cache
2019\C\优秀论文\C044.pdf,561,否,cache
2019\C\优秀论文\C137.pdf,540,否,cache
2019\C\优秀论文\C308.pdf,675,否,cache
2020\A\优秀论文\A070.pdf,483,否,cache
2020\A\优秀论文\A147.pdf,1239,否,cache
2020\A\优秀论文\A195.pdf,591,否,cache
2020\A\优秀论文\A212.pdf,375,否,cache
2020\B\优秀论文\B078.pdf,699,否,cache
2020\B\优秀论文\B108.pdf,1428,否,cache
2020\B\优秀论文\B125.pdf,483,否,cache
2020\B\优秀论文\B175.pdf,564,否,cache
2020\C\优秀论文\C109.pdf,1077,否,cache
2020\C\优秀论文\C142.pdf,621,否,cache
2020\C\优秀论文\C170.pdf,564,否,cache
2020\C\优秀论文\C227.pdf,510,否,cache
2020\C\优秀论文\C305.pdf,753,否,cache
2021\A\全国一等奖\A028.pdf,0,否,cache
2021\A\全国一等奖\A115.pdf,0,否,cache
2021\A\全国一等奖\A217.pdf,0,否,cache
2021\B\优秀论文\B160.pdf,390,否,cache
2021\B\全国一等奖\B007.pdf,0,否,cache
2021\B\全国一等奖\B026.pdf,0,否,cache
2021\B\全国一等奖\B050.pdf,0,否,cache
2021\B\全国一等奖\B106.pdf,0,否,cache
2021\C\优秀论文\C006.pdf,822,否,cache
2021\C\全国一等奖\C066.pdf,0,否,cache
2021\C\全国一等奖\C085.pdf,0,否,cache
2021\C\全国一等奖\C169.pdf,0,否,cache
2021\C\全国一等奖\C283.pdf,0,否,cache
2022\A\优秀论文\全国大学生数学建模大赛A题论文（A001）.pdf,513,否,cache
2022\A\优秀论文\全国大学生数学建模大赛A题论文（A022）.pdf,405,否,cache
2022\A\优秀论文\全国大学生数学建模大赛A题论文（A171）.pdf,783,否,cache
2022\A\全国一等奖\A001.pdf,0,否,cache
2022\A\全国一等奖\A022.pdf,0,否,cache
2022\A\全国一等奖\A171.pdf,0,否,cache
2022\B\优秀论文\全国大学生数学建模大赛B题论文（B030）.pdf,567,否,cache
2022\B\优秀论文\全国大学生数学建模大赛B题论文（B035）.pdf,567,否,cache
2022\B\优秀论文\全国大学生数学建模大赛B题论文（B086）.pdf,432,否,cache
2022\B\全国一等奖\B030.pdf,0,否,cache
2022\B\全国一等奖\B035.pdf,0,否,cache
2022\B\全国一等奖\B086.pdf,0,否,cache
2022\C\优秀论文\全国大学生数学建模大赛C题（C065).pdf,621,否,cache
2022\C\优秀论文\全国大学生数学建模大赛C题（C155).pdf,567,否,cache
2022\C\优秀论文\全国大学生数学建模大赛C题（C229).pdf,351,否,cache
2022\C\全国一等奖\C065.pdf,0,否,cache
2022\C\全国一等奖\C155.pdf,0,否,cache
2022\C\全国一等奖\C229.pdf,0,否,cache
2022\C\全国二等奖\2022C-全国二等奖-古代玻璃成分分析与鉴别(mypaper).pdf,18371,是,cache
2023\A\全国一等奖\2023A-全国一等奖-定日镜场优化设计模型(linggm3).pdf,11567,是,cache
2023\A\全国一等奖\A092.pdf,16778,是,cache
2023\A\全国一等奖\A127.pdf,38636,是,cache
2023\A\全国一等奖\A165.pdf,10776,是,cache
2023\A\全国一等奖\A175.pdf,9921,是,cache
2023\B\全国一等奖\B226.pdf,16626,是,cache
2023\B\全国一等奖\B311.pdf,7072,是,cache
2023\B\全国一等奖\B477.pdf,8704,是,cache
2023\B\全国二等奖\2023B-全国二等奖-多波束测线-基于多目标规划(zhangzeyu2002).pdf,4686,是,cache
2023\C\全国一等奖\C050.pdf,18725,是,cache
2023\C\全国一等奖\C126.pdf,7382,是,cache
2023\C\全国一等奖\C228.pdf,19207,是,cache
2023\C\全国一等奖\C235.pdf,21342,是,cache
2023\C\省一等奖\2023C-商超补货-基于ARIMA和多目标优化(CRIS).pdf,16708,是,cache
2023\C\省二等奖\2023C-商超补货-论文定稿(上海·kalipolis).pdf,19444,是,cache
2024\A\优秀论文\A1.pdf,1485,否,cache
2024\A\优秀论文\A2.pdf,1815,否,cache
2024\A\优秀论文\A3.pdf,1947,否,cache
2024\A\优秀论文\A4.pdf,2046,是,cache
2024\A\优秀论文\A5.pdf,1584,否,cache
2024\A\优秀论文\A6.pdf,1584,否,cache
2024\A\全国一等奖\2024A-全国一等奖-板凳龙论文(OurPaper).pdf,13479,是,cache
2024\A\全国一等奖\A016.pdf,0,否,cache
2024\A\全国一等奖\A053.pdf,0,否,cache
2024\A\全国一等奖\A163.pdf,0,否,cache
2024\A\全国一等奖\A178.pdf,0,否,cache
2024\A\全国一等奖\A242.pdf,0,否,cache
2024\A\全国二等奖\2024A-全国二等奖-板凳龙论文(paper).pdf,15017,是,cache
2024\B\优秀论文\B1.pdf,1188,否,cache
2024\B\优秀论文\B2.pdf,2310,是,cache
2024\B\优秀论文\B3.pdf,924,否,cache
2024\B\全国一等奖\B159.pdf,0,否,cache
2024\B\全国一等奖\B195.pdf,0,否,cache
2024\B\全国一等奖\B196.pdf,0,否,cache
2024\C\优秀论文\C1.pdf,2013,是,cache
2024\C\优秀论文\C2.pdf,1617,否,cache
2024\C\优秀论文\C3.pdf,1485,否,cache
2024\C\优秀论文\C4.pdf,1914,否,cache
2024\C\全国一等奖\C038.pdf,0,否,cache
2024\C\全国一等奖\C063.pdf,0,否,cache
2024\C\全国一等奖\C094.pdf,0,否,cache
2024\C\全国一等奖\C234.pdf,0,否,cache
2024\C\省一等奖\2024C-农作物种植优化(辽宁)-final-paper.pdf,11164,是,cache
2024\C\省二等奖\2024C-农作物种植(广东)-论文.pdf,17979,是,cache
2024\C\省二等奖\2024C-农作物种植(湖北)-C046.pdf,10150,是,cache
2025\A\全国一等奖\A196.pdf,0,否,cache
2025\A\省一等奖\2025A-烟幕弹干扰策略优化(四川)-论文.pdf,20243,是,cache
2025\A\省二等奖\2025A-省二等奖-烟幕干扰弹投放策略(上海·ceasonen)-论文.pdf,15548,是,cache
2025\B\全国一等奖\B060.pdf,0,否,cache
2025\B\全国一等奖\B157.pdf,0,否,cache
2025\B\省二等奖\2025B-半导体外延层厚度(上海)-论文.pdf,7438,是,cache
2025\B\省二等奖\2025B-省二等奖-碳化硅外延层厚度-红外干涉(Chang-Liu6).pdf,14827,是,cache
2025\C\全国一等奖\C023.pdf,0,否,cache
2025\C\全国一等奖\C132.pdf,0,否,cache
2025\C\省一等奖\2025C-NIPT封面(title).pdf,1541,否,cache
2025\C\省一等奖\2025C-NIPT报告(report).pdf,12944,是,cache
2025\C\省二等奖\2025C-NIPT(山东)-论文.pdf,17205,是,cache
算法写作模板\01_算法获奖论文(按算法)\TOPSIS法\2009全国大学生数学建模A题0314医院病床合理安排模型探讨.pdf,8770,是,cache
算法写作模板\01_算法获奖论文(按算法)\TOPSIS法\2016国赛B题推荐国家一等奖小区开放对道路通行的影响.pdf,8517,是,cache
算法写作模板\01_算法获奖论文(按算法)\TOPSIS法\常州大学一等奖淡水养殖池塘水华发生及池水自净化研究.pdf,16127,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\10300C 最佳旅游路线设计与对比.pdf.pdf,11761,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\10342c基于协同过滤的书籍推荐模型.pdf,10379,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\2012年数学建模A题一等奖论文葡萄酒的评价 .pdf,16275,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\[2011年国赛高教杯奖A题]南京信息工程大学城市表层土壤重金属污染.pdf,4258,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\[2016年国赛MATLAB创新奖B题]中国人民大学-小区开放道路通行影响.pdf,14542,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\B3617基于粗糙集改进的决策树手机精准营销模型 .pdf,17056,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\一等奖C题_东北石油大学_狄喜凤_支树宝_任泽彬垃圾观点的文档识别.pdf,17330,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\一等奖D题_山东科技大学_李倩_孔令波_李晓杭图像去噪中几类稀疏变换的矩阵表示 .pdf,17403,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\一等奖D题_武汉大学_王桐_蔡家骏_李默颖图像去噪中几类稀疏变换的矩阵表示 .pdf,11138,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\华北电力大学二等奖A淡水养殖池塘水华发生及池水净化处理 .pdf,15274,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\武汉大学一等奖A水产养殖池塘综合研究.pdf,16595,是,cache
算法写作模板\01_算法获奖论文(按算法)\主成分分析\特等奖D题_中国矿业大学（北京）_蒋书棋_李晨光_王畅.pdf,7397,是,cache
算法写作模板\01_算法获奖论文(按算法)\元胞自动机\2013数学建模A题优秀论文车道被占用对城市道路通行能力的影响 .pdf,14704,是,cache
算法写作模板\01_算法获奖论文(按算法)\元胞自动机\[2016年国赛MATLAB创新奖B题]中国人民大学-小区开放道路通行影响.pdf,14542,是,cache
算法写作模板\01_算法获奖论文(按算法)\元胞自动机\华中农大特等奖淡水养殖池塘水华发生及池水自净化研究 .pdf,14457,是,cache
算法写作模板\01_算法获奖论文(按算法)\元胞自动机\周晨阳周登岳孔垂烨A车道被占用对城市道路通行能力的影响 .pdf,16193,是,cache
算法写作模板\01_算法获奖论文(按算法)\典型相关分析\2012年数学建模A题一等奖论文葡萄酒的评价 .pdf,16275,是,cache
算法写作模板\01_算法获奖论文(按算法)\典型相关分析\常州大学一等奖淡水养殖池塘水华发生及池水自净化研究 .pdf,16127,是,cache
算法写作模板\01_算法获奖论文(按算法)\决策树\基于粗糙集改进的决策树手机精准营销模型.pdf,17077,是,cache
算法写作模板\01_算法获奖论文(按算法)\动态规划\基于蒙特卡洛模拟的眼科病床安排排队模型 .pdf,8293,是,cache
算法写作模板\01_算法获奖论文(按算法)\动态规划\山东科技大学特等奖小区车位分布的评价和优化模型.pdf,11504,是,cache
算法写作模板\01_算法获奖论文(按算法)\动态规划\最佳旅游路线的选择模型 .pdf,7934,是,cache
算法写作模板\01_算法获奖论文(按算法)\动态规划\洗衣机的节水程序设计.pdf,4991,是,cache
算法写作模板\01_算法获奖论文(按算法)\博弈论\2006 高教社杯全国大学生数学建模竞赛.pdf,16434,是,cache
算法写作模板\01_算法获奖论文(按算法)\博弈论\“2048”游戏的数学基础及其取胜策略研究.pdf,7343,是,cache
算法写作模板\01_算法获奖论文(按算法)\博弈论\“拍照赚钱”的任务定价 (2).pdf,6830,是,cache
算法写作模板\01_算法获奖论文(按算法)\博弈论\“拍照赚钱”的任务定价.pdf,16035,是,cache
算法写作模板\01_算法获奖论文(按算法)\因子分析\[2018C基于 RFMT 模型的百货商场会员画像描绘].pdf,12971,是,cache
算法写作模板\01_算法获奖论文(按算法)\因子分析\基于复杂网络和因子分析的智能推荐 .pdf,10386,是,cache
算法写作模板\01_算法获奖论文(按算法)\因子分析\武汉大学一等奖A水产养殖池塘综合研究.pdf,16595,是,cache
算法写作模板\01_算法获奖论文(按算法)\图论Dijkstra模型\[2016年国赛MATLAB创新奖B题]中国人民大学-小区开放道路通行影响.pdf,14542,是,cache
算法写作模板\01_算法获奖论文(按算法)\图论Dijkstra模型\公交查询系统的最佳乘车方案研究与设计 .pdf,16617,是,cache
算法写作模板\01_算法获奖论文(按算法)\图论Dijkstra模型\钢管订购和运输优化模型.pdf,4573,是,cache
算法写作模板\01_算法获奖论文(按算法)\图论floyd算法\2011年全国大学生数学建模竞赛B题省级一等奖论文.pdf,7750,是,cache
算法写作模板\01_算法获奖论文(按算法)\图论floyd算法\[2011年国赛MATLAB创新奖B题]第三军医大学交巡警平台设置与调度模型.pdf,3127,是,cache
算法写作模板\01_算法获奖论文(按算法)\图论floyd算法\中国民航大学一等奖B车位分布的优化设计与评价 .pdf,9019,是,cache
算法写作模板\01_算法获奖论文(按算法)\图论floyd算法\基于复杂网络和因子分析的智能推荐.pdf,10386,是,cache
算法写作模板\01_算法获奖论文(按算法)\图论floyd算法\奥运会超市网点设计-刘俊.pdf,5266,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\1010B题公司业务数据分析.pdf,8702,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\2004-电力市场的输电阻塞问题--历年数学建模优秀论文大全.pdf,5760,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\2012年数学建模A题一等奖论文葡萄酒的评价 .pdf,16275,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\[2017年国赛MATLAB创新奖C题]南京铁道职业技术学院-颜色与物质浓度的辨识问多元回归题.pdf,7457,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\DVD租赁优化方案.pdf,4846,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\一等奖“拍照赚钱”的任务定价 .pdf,1886,否,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\全国二等奖“拍照赚钱”的任务定价.pdf,6830,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\华北电力大学一等奖水质综合评价及预测 .pdf,12873,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\周晨阳周登岳孔垂烨A车道被占用对城市道路通行能力的影响 .pdf,16193,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\基于聚类分析的双目标优化定价模型.pdf,17469,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\施肥方案对作物_蔬菜的影响.pdf,3813,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\矿相特征迁移规律研究.pdf,9034,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\长江水质综合评价与预测的数学模型.pdf,10207,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\颜色与物质浓度的辨识问题 .pdf,1010,否,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\颜色与物质浓度辨识 .pdf,7423,是,cache
算法写作模板\01_算法获奖论文(按算法)\多元回归\高等教育学费标准的探讨 .pdf,18552,是,cache
算法写作模板\01_算法获奖论文(按算法)\小波分析\一等奖D题_山东科技大学_李倩_孔令波_李晓杭.pdf,17403,是,cache
算法写作模板\01_算法获奖论文(按算法)\小波分析\特等奖D题_中国矿业大学（北京）_蒋书棋_李晨光_王畅.pdf,7397,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\2002年B题“彩票中的数学”问题的优化模型与评述.pdf,6903,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\2002年B题彩票方案的优选模型.pdf,3595,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\2002年B题彩票方案的评价.pdf,4000,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\2008一等奖关于高等教育学费标准的评价及建议 .pdf,12551,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\2009B基于蒙特卡洛模拟的眼科病床安排排队模型 .pdf,8314,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\2009全国大学生数学建模A题0314.pdf,8791,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\2012年数学建模A题一等奖论文葡萄酒的评价 .pdf,16296,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\[2010年国赛MATLAB创新奖B题]大连海事大学-上海世博会影响力的定量分析.pdf,9436,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\[2016年国赛MATLAB创新奖B题]中国人民大学-小区开放道路通行影响.pdf,14542,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\[2017年国赛MATLAB创新奖C题]南京铁道职业技术学院-颜色与物质浓度的辨识问多元回归题.pdf,7457,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\[2018C基于 RFMT 模型的百货商场会员画像描绘].pdf,12992,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\[2018D确定汽车装配顺序问题的].pdf,16057,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\DNA分类模型.pdf,4926,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\DNA序列的分类模型.pdf,6607,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\SARS传播预测的数学模型.pdf,9622,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\SARS传播预测的数学模型SARS传播预测的数学模型_.pdf,13033,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\“彩票中的数学”问题的优化模型与评述.pdf,6903,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\“露天矿生产的车辆安排”的模型和评述.pdf,8688,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\健康的标准和健康计划.pdf,17377,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\健康综合评价体系设计与应用.pdf,17095,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\关于DNA序列分类问题的模型.pdf,5804,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\华北理工大学一等奖A樊丽娟淡水养殖池塘水华发生及池水净化处理 .pdf,9293,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\基于插值的雨量预报评价模型.pdf,2352,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\对公务员招聘问题的思考.pdf,4311,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\彩票方案的优选模型.pdf,3595,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\彩票方案的评价.pdf,4000,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\招聘公务员问题的优化模型与评述.pdf,6636,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\最佳旅游路线设计与对比 .pdf.pdf,11782,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\洗衣机的节水程序设计.pdf,5012,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\西南交通大学一等奖B车位分布的优化设计与评价.pdf,10165,是,cache
算法写作模板\01_算法获奖论文(按算法)\层次分析法\雨量预报方法的评价.pdf,2961,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\1考虑自愈的SARS的传播模型.pdf,12328,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\2013 高教社杯全国大学生数学建模竞赛.pdf,10887,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\2长江水质的评价和预测.pdf,5669,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\SARS传播预测的数学模型.pdf,13012,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\基于非稳态导热的高温作业专用服装设计.pdf,9566,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\基于非稳态导热的高温作业专用服装设计].pdf,9566,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\小区开放道路通行影响.pdf,11261,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\平行束CT 系统的参数标定及成像.pdf,10146,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\数学建模SARS传播的研究_(3).pdf,5786,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\考虑自愈的SARS的传播模型.pdf,5786,是,cache
算法写作模板\01_算法获奖论文(按算法)\微分方程\酒精代谢的数学分析.pdf,2313,是,cache
